"@timestamp","system.cpu.total.norm.pct","agent.hostname"
"Mar 31, 2021 @ 13:37:07.263","54.64%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:37:03.897","43.12%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:37:02.263","62.44%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:36:58.897","45.2%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:36:57.263","54.46%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:36:53.897","43.03%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:36:52.263","57.43%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:36:48.897","45.34%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:36:47.263","52.69%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:36:43.897","46.41%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:36:42.263","47.43%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:36:38.897","47.19%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:36:37.263","45.16%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:36:33.897","49.21%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:36:32.263","39.15%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:36:28.897","54.26%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:36:27.263","43.53%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:36:23.904","48.09%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:36:22.263","39.02%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:36:18.897","51.37%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:36:17.263","41.42%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:36:13.897","43.66%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:36:12.263","41.71%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:36:08.897","45.54%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:36:07.263","44.81%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:36:03.897","40.97%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:36:02.263","44.32%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:35:58.897","38.15%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:35:57.263","45.75%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:35:53.897","35.49%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:35:52.263","50.86%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:35:48.897","36.31%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:35:47.263","43.61%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:35:43.897","35.83%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:35:42.263","46.06%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:35:38.897","37.47%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:35:37.263","42.66%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:35:33.897","36.57%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:35:32.263","36.69%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:35:28.897","38.02%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:35:27.263","37.48%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:35:23.897","40.44%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:35:22.263","32.62%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:35:18.897","45.74%","ip-172-31-2-90"
